trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
18384,6,-0.36331059948001093,-15.855760067207745,43.64243732470601,49,0.39929219886948597,18.426927414050116,46.1489792843992,49,0.7556062708282368,24.84491710678029,32.88077146255976,49,16518,1866,False,41,29,24,24
18434,6,0.3909867458431283,11.80183469513976,30.184743653368987,49,-0.2911218012172541,-10.078478258122503,34.61945555427944,49,0.4534722176809822,11.14689343705015,24.581204762784367,49,16518,1916,False,27,52,33,33
18484,6,1.7286817805513832,44.300470351074694,25.626735266998963,47,1.720901252311309,55.5711355628208,32.29187932089903,47,1.0876165676654326,24.931589446977565,22.923142390606632,47,16518,1966,False,11,5,20,20
18536,6,-0.10745375832349742,-4.208332663068491,39.16412723693663,49,-0.29815331468577544,-8.485969593893536,28.4617650581444,49,-0.7009418617337806,-13.971988499256158,19.93316316519665,49,16518,2018,False,34,53,64,64
18612,6,2.1850460257237474,68.41401566935876,31.310102791403743,48,-1.8393748267037988,-61.38837179707663,33.3745851611365,48,-0.9160956233178674,-21.86210734801032,23.864438156391664,48,16518,2094,False,9,78,68,68
18663,6,-0.7752559681728188,-23.079494095073297,29.770159847293755,49,-0.06596381977486253,-2.281695375451477,34.590103836300045,49,-0.834399346778007,-20.11393372675888,24.105883836592,49,16518,2145,False,51,46,65,65
18713,6,-1.123269394297277,-30.962504534672867,27.564629368401132,49,0.1073314485552306,3.638005932765549,33.895060410868346,49,-0.2310946584761978,-5.493832260835409,23.77308197887776,49,16518,2195,False,63,38,51,51
18763,6,-0.6711868017029818,-20.04074363825409,29.85866764275656,48,0.28761679217762,8.949731703075733,31.11686085960084,48,0.4238679308272934,9.656815781363527,22.78260533302349,48,16518,2245,False,48,33,35,35
18840,6,-1.0006558896007898,-29.769704828871085,29.7501919873251,48,0.20377067213672637,6.446122458355479,31.634201285012445,48,0.49890144950890697,11.003621971698406,22.05570254913031,48,16518,2322,False,58,36,29,29
18890,6,-0.5537478517078793,-16.740951630170596,30.232084112900566,49,-0.15674783234266326,-4.982141571208787,31.784436803677313,49,-1.0095249591406497,-22.446392414438865,22.234608675298315,49,16518,2372,False,44,48,72,72
