selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,provenance,target_id,quarter,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio,status,error
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10551301,5,False,4634.0,4486.0,146.0,2.962974662652414,0.020434306497918442,0.03193785066896848,690.6610604646108,0.020434306497918442,0.020434306497918442,0.08173722599167377,0.026325458536563765,0.12589082191966447,0.07419715413379564,-0.011555768286556344,-0.0791437090683754,,2.9425401357002556,96.0,52.0,49.0,130.2038474538875,571.2330888936182,0.2279347082398016,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10597684,5,False,4634.0,4486.0,146.0,2.9629746414138936,0.020434306148672476,0.03193785066896848,521.708091775048,0.020434306148672476,0.020434306148672476,0.14304014304070733,0.03524744630775737,0.0790110015667963,-0.04222881040097973,0.1294032080553919,-0.033885857121922956,,2.9425400854088366,96.0,52.0,49.0,40.5073238616044,488.61344418271364,0.08290259783858292,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10668734,5,False,4634.0,4486.0,146.0,2.962974354653852,0.020434304235095624,0.03193785066896848,407.6944975841219,0.020434304235095624,0.020434304235095624,0.0817372169403825,0.034918637617622754,0.10963799265417136,0.0010848056602823079,-0.04433719875683545,-0.009359888659747224,,2.94253980985377,96.0,52.0,49.0,67.71262614093351,356.2006576092437,0.19009685887558092,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10677499,5,False,4634.0,4486.0,146.0,2.962973996058281,0.0204343018704094,0.03193785066896848,5644.456086514008,0.3882517355377786,0.306514528056141,0.7765034710755572,0.6110748485767179,0.9309617557210971,0.5727152905358609,-0.173047711838626,-0.22676823611981062,,2.9425394693389535,96.0,52.0,49.0,1013.132110613993,463.3791797361543,2.1863997238522135,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10718455,5,False,4634.0,4486.0,146.0,2.962972386558249,0.02043429046170786,0.03193785066896848,342.79822796155673,0.6130287138512358,0.42912009969586506,1.0830173944705166,0.9489621912338935,0.8944531570970728,0.7058857459404463,0.03664781131840011,-0.34725597336661346,,2.942537826485932,96.0,52.0,49.0,404.05159294273176,144.30877512509093,2.799910071944609,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10783986,5,False,4634.0,4486.0,146.0,2.9629715393457445,0.02043428464094177,0.03193785066896848,293.2766742081901,0.02043428464094177,0.02043428464094177,0.10217142320470884,0.03275554437191489,0.07405332605200818,-0.05759633124030562,0.019183312196205813,-0.06301306563133859,,2.9425369882956147,96.0,52.0,49.0,38.904048619470586,235.9804872189921,0.16486129458393423,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10803244,5,False,4634.0,4486.0,146.0,2.9629730827655294,0.020434295503946487,0.03193785066896848,448.53145445642696,0.020434295503946487,0.020434295503946487,0.020434295503946487,0.020434295503946487,-0.042020609174839255,-0.050331943286764456,-0.14199629291589028,0.010273923530198275,,2.942538552568294,96.0,52.0,49.0,82.73732168118941,506.3247784135441,0.16340760951977973,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10817031,5,False,4634.0,4486.0,146.0,2.962972712026385,0.0204342930810526,0.03193785066896848,275.2440170448275,0.0204342930810526,0.0204342930810526,0.0817371723242104,0.04970379342756103,0.3092119568197089,0.06656503221284803,0.021877012759377975,-0.05196968276878712,,2.9425382036715746,96.0,52.0,49.0,45.05773944501796,266.2753229842048,0.1692148522816391,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10917608,5,False,4634.0,4486.0,146.0,2.9629718812648207,0.020434287085663527,0.03193785066896848,513.847236803948,0.020434287085663527,0.020434287085663527,0.6130286125699058,0.23668852957595246,0.2866839394135202,0.12005309351635678,0.002840649878555016,-0.10902855123606006,,2.942537340335548,96.0,52.0,49.0,367.79283774584434,343.2350184351453,1.0715481171550076,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10989905,5,False,4634.0,4486.0,146.0,2.962971279215708,0.020434283156646416,0.03193785066896848,226.4300290126663,0.020434283156646416,0.020434283156646416,0.020434283156646416,0.020434283156646416,-0.018403320054955777,0.01141462380139937,-0.05555224910598587,0.012851781175662274,,2.942536774557084,96.0,52.0,49.0,27.982334914769712,156.0204241324966,0.17935046049487974,success,
