configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
fixed_l_over_duration_0.5,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.00013989359352120038,7.431769719101023e-05,-0.00011916685151778291
fixed_l_over_duration_1,1,489.51122690278135,489.1816327449269,-0.32959415785444435,-0.0004176804420014113,-0.0004176804420014113,False,-0.00022760371213045543,5.19531039001246e-05,-0.00019007672987095587
fixed_l_over_duration_1,1,489.51122690278135,489.2020668653058,-0.3091600374755217,-0.0004173405420079268,-0.0004173405420079268,False,-0.0002341390399275722,5.164511493003066e-05,-0.0001832015020803546
fixed_l_over_duration_1,1,489.51122690278135,489.2225011856208,-0.2887257171605597,-0.00016332194687240786,-0.00016332194687240786,False,-0.00023989625915385394,5.1373028137973055e-05,7.657431228144608e-05
fixed_l_over_duration_1,1,489.51122690278135,489.24293540594226,-0.26829149683908327,-0.00027956774464632517,-0.00027956774464632517,False,-0.00024447399940359156,5.12655805100248e-05,-3.509374524273361e-05
fixed_l_over_duration_1,1,489.51122690278135,489.2633697262572,-0.24785717652412131,-0.00024002604540351857,-0.00024002604540351857,False,-0.00024754983988545677,5.137388888493436e-05,7.523794481938194e-06
fixed_l_over_duration_1,1,489.51122690278135,489.28380384651973,-0.22742305626161397,-0.0002550949451148865,-0.0002550949451148865,False,-0.0002488971832499598,5.1645890269660636e-05,-6.197761864926718e-06
fixed_l_over_duration_1,1,489.51122690278135,489.304238066783,-0.20698883599834517,-0.000243764945331848,-0.000243764945331848,False,-0.00024839375572076284,5.1952652041208556e-05,4.628810388914838e-06
fixed_l_over_duration_1,1,489.51122690278135,489.32467238703975,-0.18655451574159088,-0.00024875014523639827,-0.00024875014523639827,False,-0.0002460212621970615,5.215134060304016e-05,-2.728883039336766e-06
fixed_l_over_duration_1,1,489.51122690278135,489.34510650724405,-0.1661203955372912,-0.00020762224602399737,-0.00020762224602399737,False,-0.0002418577134514207,5.215168986242364e-05,3.423546742742332e-05
fixed_l_over_duration_1,1,489.51122690278135,489.3655407273909,-0.1456861753904377,-0.0001408885473019872,-0.0001408885473019872,False,-0.00023606349039358382,5.195627101193574e-05,9.517494309159663e-05
fixed_l_over_duration_1,1,489.51122690278135,489.38597504758945,-0.12525185519189108,-0.00014394764724334763,-0.00014394764724334763,False,-0.00022886375968096052,5.165933936209993e-05,8.491611243761289e-05
fixed_l_over_duration_1,1,489.51122690278135,489.40640916773555,-0.10481773504579905,-0.00016490814684200217,-0.00016490814684200217,False,-0.0002205290464231334,5.140439191421595e-05,5.5620899581131225e-05
fixed_l_over_duration_1,1,489.51122690278135,489.4268433878242,-0.08438351495715324,-0.00022609014567032126,-0.00022609014567032126,False,-0.0002113554546462064,5.131619226874255e-05,-1.4734691024114854e-05
fixed_l_over_duration_1,1,489.51122690278135,489.4472777079063,-0.06394919487502193,-0.00012502654760571108,-0.001125026547605711,True,-0.00020164731443177565,5.14381709584243e-05,-0.0009233792331739355
