model,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls,stratification,bucket
logistic_regression,234,2256,0.3247863247863248,0.3803418803418803,0.4358974358974359,0.5,0.5085470085470085,0.3661189119522453,1.0,117,66,4,noise_quartile,highest_scatter
logistic_regression,216,1841,0.9490740740740741,0.9722222222222222,0.9814814814814815,0.9907407407407407,0.9490740740740741,0.9624283509700176,1.0,2,7,0,noise_quartile,low_scatter
logistic_regression,234,1730,0.9444444444444444,0.9700854700854701,0.9829059829059829,0.9829059829059829,0.9743589743589743,0.9602564102564102,1.0,4,13,2,noise_quartile,lowest_scatter
xgboost_classifier,450,4112,0.6555555555555556,0.7222222222222222,0.7511111111111111,0.7733333333333333,0.7133333333333334,0.693410052910053,1.0,102,50,0,depth,"(-0.0005, 0.00075]"
xgboost_classifier,450,3765,0.8466666666666667,0.8644444444444445,0.88,0.8911111111111111,0.8688888888888889,0.8601419753086419,1.0,49,58,3,depth,"(0.00075, 0.001]"
xgboost_classifier,300,2652,0.6633333333333333,0.72,0.75,0.77,0.71,0.6971891534391534,1.0,69,40,0,duration,"(1.999, 3.333]"
xgboost_classifier,300,2611,0.7933333333333333,0.8266666666666667,0.8333333333333334,0.8533333333333334,0.8333333333333334,0.8121296296296296,1.0,44,42,1,duration,"(3.333, 5.333]"
xgboost_classifier,300,2614,0.7966666666666666,0.8333333333333334,0.8633333333333333,0.8733333333333333,0.83,0.8210092592592593,1.0,38,26,2,duration,"(5.333, 8.0]"
xgboost_classifier,300,2498,0.73,0.7366666666666667,0.7466666666666667,0.7466666666666667,0.7966666666666666,0.7356666666666666,1.0,76,3,0,period,"(1.999, 4.0]"
xgboost_classifier,300,2611,0.7933333333333333,0.85,0.87,0.8733333333333333,0.83,0.8219166666666666,1.0,38,50,0,period,"(4.0, 6.667]"
xgboost_classifier,300,2768,0.73,0.7933333333333333,0.83,0.8766666666666667,0.7466666666666667,0.772744708994709,1.0,37,55,3,period,"(6.667, 10.0]"
xgboost_classifier,216,2050,0.7361111111111112,0.7916666666666666,0.8425925925925926,0.8703703703703703,0.7777777777777778,0.7754758230452674,1.0,28,10,0,noise_quartile,high_scatter
xgboost_classifier,234,2256,0.36324786324786323,0.4358974358974359,0.4658119658119658,0.5,0.4658119658119658,0.405781101614435,1.0,117,74,3,noise_quartile,highest_scatter
xgboost_classifier,216,1841,0.9537037037037037,0.9814814814814815,0.9907407407407407,0.9907407407407407,0.9537037037037037,0.9675925925925926,1.0,2,8,0,noise_quartile,low_scatter
xgboost_classifier,234,1730,0.9658119658119658,0.9786324786324786,0.9786324786324786,0.9829059829059829,0.9786324786324786,0.9728327228327228,1.0,4,16,0,noise_quartile,lowest_scatter
xgboost_pairwise_ranker,450,4112,0.6644444444444444,0.7244444444444444,0.7377777777777778,0.7733333333333333,0.7355555555555555,0.6986234567901234,1.0,102,54,0,depth,"(-0.0005, 0.00075]"
xgboost_pairwise_ranker,450,3765,0.8466666666666667,0.8666666666666667,0.8711111111111111,0.8911111111111111,0.8955555555555555,0.859541446208113,1.0,49,58,3,depth,"(0.00075, 0.001]"
xgboost_pairwise_ranker,300,2652,0.67,0.7233333333333334,0.74,0.77,0.7433333333333333,0.7018386243386243,1.0,69,42,0,duration,"(1.999, 3.333]"
xgboost_pairwise_ranker,300,2611,0.7933333333333333,0.8233333333333334,0.83,0.8533333333333334,0.8566666666666667,0.8101044973544973,1.0,44,42,1,duration,"(3.333, 5.333]"
xgboost_pairwise_ranker,300,2614,0.8033333333333333,0.84,0.8433333333333334,0.8733333333333333,0.8466666666666667,0.8253042328042329,1.0,38,28,2,duration,"(5.333, 8.0]"
xgboost_pairwise_ranker,300,2498,0.73,0.7366666666666667,0.7466666666666667,0.7466666666666667,0.8633333333333333,0.7356666666666666,1.0,76,3,0,period,"(1.999, 4.0]"
xgboost_pairwise_ranker,300,2611,0.8,0.8533333333333334,0.86,0.8733333333333333,0.83,0.8271283068783067,1.0,38,52,0,period,"(4.0, 6.667]"
xgboost_pairwise_ranker,300,2768,0.7366666666666667,0.7966666666666666,0.8066666666666666,0.8766666666666667,0.7533333333333333,0.7744523809523809,1.0,37,57,3,period,"(6.667, 10.0]"
xgboost_pairwise_ranker,216,2050,0.7546296296296297,0.7962962962962963,0.8194444444444444,0.8703703703703703,0.7916666666666666,0.7858520723104057,1.0,28,14,0,noise_quartile,high_scatter
xgboost_pairwise_ranker,234,2256,0.36324786324786323,0.44017094017094016,0.4444444444444444,0.5,0.5384615384615384,0.40528761362094695,1.0,117,74,3,noise_quartile,highest_scatter
xgboost_pairwise_ranker,216,1841,0.9583333333333334,0.9861111111111112,0.9907407407407407,0.9907407407407407,0.9583333333333334,0.9708333333333333,1.0,2,9,0,noise_quartile,low_scatter
xgboost_pairwise_ranker,234,1730,0.9615384615384616,0.9743589743589743,0.9786324786324786,0.9829059829059829,0.9829059829059829,0.9696275946275946,1.0,4,15,0,noise_quartile,lowest_scatter
