target_id,quarter,selection_group,status,profile,runtime_seconds,light_curve_cache_hit,base_arima_from_cache,original_searches_from_cache,arima_injection_mode,injection_count_requested,injection_count_successful,injection_success_fraction,null_trials_requested,tcf_null_trials_successful,bls_null_trials_successful,base_arima_converged,base_arima_runtime_seconds,original_tcf_runtime_seconds,original_bls_runtime_seconds,original_tcf_period_days,original_tcf_score,original_tcf_raw_pooled_score,original_tcf_valid_transit_events,original_tcf_positive_event_fraction,original_bls_period_days,original_bls_sde,original_bls_power,tcf_harmonic_rank1_rate_before_fap,tcf_exact_rank1_rate_before_fap,tcf_exact_top10_rate,tcf_median_exact_rank_when_present,bls_harmonic_rank1_rate_before_fap,bls_exact_rank1_rate_before_fap,bls_exact_top10_rate,n_grid_observations,n_finite_observations,finite_fraction,gap_fraction,baseline_days,median_cadence_days,median_flux,robust_flux_scatter_ppm,flux_standard_deviation_ppm,lag_one_flux_acf,six_hour_scatter_proxy_ppm,tcf_global_fap_threshold,bls_global_fap_threshold,original_tcf_passes_global_fap,original_bls_passes_global_fap,original_tcf_global_empirical_p_value,original_bls_global_empirical_p_value,noise_quartile,tcf_score_threshold,bls_sde_threshold,original_tcf_passes_regime_fap,original_bls_passes_regime_fap,original_any_passes_global_fap,original_any_passes_regime_fap
2438264,5,confirmed_planet_host,success,optimized,440.641122458037,False,False,False,filter,18,18,1.0,8,8,8,True,0.1677500840742141,13.370879374910146,0.1438937501516193,4.972657552517506,11.728003734158698,10.85713486505203,18,1.0,13.333444481493832,4.105542788122773,0.0101275324092096,0.7222222222222222,0.3333333333333333,0.6111111111111112,1.0,0.3888888888888889,0.3888888888888889,0.4444444444444444,4634,4485,0.9678463530427276,0.0321536469572723,94.65269646883826,0.0204345271631609,-0.0004471310622004,1945.792123199032,2108.259346673149,0.9831486886940024,223.33990248902808,16.085275694914447,5.684844459265036,False,False,0.0324189526184538,0.2768079800498753,highest_scatter,17.265028433988043,4.675181478846935,False,False,False,False
2438513,5,confirmed_planet_host,success,optimized,457.4280730420723,False,False,False,filter,18,18,1.0,8,8,8,True,0.8627442079596221,22.30234254221432,0.1599453748203814,12.7405801933978,6.906931746424961,5.198200645869008,5,0.6,13.38479493164388,5.637516585474625,0.084848513966193,0.7222222222222222,0.3888888888888889,0.3888888888888889,1.0,0.0,0.0,0.0,4634,4485,0.9678463530427276,0.0321536469572723,94.65270067480742,0.0204345280653797,5.881442791233482e-05,5520.86821340344,5406.352909236027,0.997967450966772,202.48195783361825,16.085275694914447,5.684844459265036,False,False,0.341645885286783,0.0124688279301745,highest_scatter,17.265028433988043,4.675181478846935,False,True,False,True
2439243,5,confirmed_planet_host,success,optimized,455.5358514159452,False,False,False,filter,18,18,1.0,8,8,8,True,0.3848495839629322,18.720461084041744,0.1481015000026673,14.631210403467824,6.370944872267817,6.040222224756217,6,0.6666666666666666,13.571523841280428,4.312816510650279,0.0069393090491146,0.0555555555555555,0.0,0.3333333333333333,3.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,4634,4485,0.9678463530427276,0.0321536469572723,94.65270114826852,0.020434527657926,1.0475737788340211e-05,815.8214492229673,972.834543048443,0.2516985648930642,642.4356865485978,16.085275694914447,5.684844459265036,False,False,0.7331670822942643,0.1970074812967581,high_scatter,16.085275694914447,6.470843008693946,False,False,False,False
2441495,5,confirmed_planet_host,success,optimized,444.7227693749592,False,False,False,filter,18,18,1.0,8,8,8,False,0.5921394999604672,18.01452758279629,0.2550641668494791,12.49783261087029,7.384868323305256,7.098500994188951,6,1.0,14.603201067022342,3.0982510593803267,0.0027083064654688,0.6111111111111112,0.5555555555555556,0.6666666666666666,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,4634,4485,0.9678463530427276,0.0321536469572723,94.65272081209696,0.0204345306556206,-2.4441919098672216e-06,313.5617282104444,299.6152703938898,0.6591995947594694,156.73928131019386,16.085275694914447,5.684844459265036,False,False,0.1645885286783042,0.7680798004987531,low_scatter,16.276126694754126,5.983956562712842,False,False,False,False
2442448,5,confirmed_planet_host,success,optimized,416.6071056670043,False,False,False,filter,18,18,1.0,8,8,8,False,0.6380802500061691,27.216359332902357,0.1572731249034404,13.590196732244085,6.490292690075918,5.03719108600406,7,0.7142857142857143,10.94331443814605,4.7866595610912475,0.0019686136346802,0.6666666666666666,0.4444444444444444,0.5555555555555556,1.0,1.0,1.0,1.0,4634,4485,0.9678463530427276,0.0321536469572723,94.65273005873314,0.0204345321399159,-4.183391829837291e-06,254.40492110314065,266.0501774787054,0.0940582618315911,234.17823467877648,16.085275694914447,5.684844459265036,False,False,0.6309226932668329,0.084788029925187,lowest_scatter,14.755773328670138,5.577848433974941,False,False,False,False
2444412,5,confirmed_planet_host,success,optimized,408.3870630408637,False,False,False,filter,18,18,1.0,8,8,8,False,0.8974106658715755,26.84052799991332,0.2236348749138414,14.906635545181729,18.614952594840897,18.56112691033996,6,1.0,14.388462820940315,3.9247033110896,0.0100320848894831,0.5555555555555556,0.4444444444444444,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,4634,4485,0.9678463530427276,0.0321536469572723,94.6527463911043,0.0204345347592607,-0.000159970369284,1105.0141019134894,1298.0923331492722,0.9909382285573692,93.66421297026582,16.085275694914447,5.684844459265036,True,False,0.0049875311720698,0.341645885286783,high_scatter,16.085275694914447,6.470843008693946,True,False,True,True
2556650,5,confirmed_planet_host,success,optimized,250.76128312502988,False,False,False,filter,18,18,1.0,8,8,8,True,0.7354804589413106,18.980521250050515,0.2689145838376134,14.35578526175392,7.138548102570818,5.4300452500727525,5,0.6,14.93464488162721,3.624774111768243,0.0075825299330765,0.0,0.0,0.0555555555555555,3.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,4634,4485,0.9678463530427276,0.0321536469572723,94.65253007851425,0.020434503119759,-1.342885588417886e-05,916.332682756996,1104.5411462684926,0.1879710433904475,771.5386824391611,16.085275694914447,5.684844459265036,False,False,0.2618453865336658,0.4912718204488778,high_scatter,16.085275694914447,6.470843008693946,False,False,False,False
2584163,5,confirmed_planet_host,success,optimized,387.7209667498246,False,False,False,filter,18,18,1.0,8,8,8,True,0.0938035000581294,11.379355000099167,0.0946548748761415,14.789929976658888,7.076174718600959,9.5109554632337,5,1.0,10.779926642214072,3.665965617586175,0.0022734561766638,0.1666666666666666,0.0555555555555555,0.1111111111111111,2.0,1.0,1.0,1.0,4634,4486,0.9680621493310316,0.0319378506689684,94.65278813950135,0.0204345412130351,1.0785944619673415e-06,399.36644959214834,467.70383163040793,0.0044160981216212,383.838254148619,16.085275694914447,5.684844459265036,False,False,0.2817955112219451,0.4613466334164589,low_scatter,16.276126694754126,5.983956562712842,False,False,False,False
2693736,5,confirmed_planet_host,success,optimized,418.88348495797254,False,False,False,filter,18,18,1.0,8,8,8,True,0.2134024589322507,12.250757042085752,0.157347833039239,9.757585861953986,7.230117202229719,3.982562371871804,9,0.7777777777777778,12.119706568856286,6.807186479884859,0.0040532485736903,0.3333333333333333,0.1666666666666666,0.4444444444444444,2.0,0.8888888888888888,0.8888888888888888,1.0,4634,4485,0.9678463530427276,0.0321536469572723,94.65250043894048,0.020434498652321,-8.287227000636221e-06,454.0150778128674,482.67685603596817,0.1169715578241618,418.6860573701959,16.085275694914447,5.684844459265036,False,True,0.2119700748129676,0.0024937655860349,low_scatter,16.276126694754126,5.983956562712842,False,True,True,True
2713049,5,confirmed_planet_host,success,optimized,429.1718655838631,False,False,False,filter,18,18,1.0,8,8,8,True,0.517219000030309,12.59303016588092,0.2074242918752133,14.005668556185396,6.606532713973645,3.797041271201592,7,0.8571428571428571,11.90496832277426,3.0368019468118344,0.0043611502539625,0.5,0.0555555555555555,0.2777777777777778,4.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,4634,4485,0.9678463530427276,0.0321536469572723,94.65272018834366,0.0204345289967022,-2.686468488299898e-05,452.97370745852663,527.1398476525762,0.3031218423350373,350.575032674304,16.085275694914447,5.684844459265036,False,False,0.5286783042394015,0.8029925187032418,low_scatter,16.276126694754126,5.983956562712842,False,False,False,False
