candidate_id,target_id,quarter,injection_index,candidate_period_days,source_detector,exact_match,harmonic_match,selection_group,injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,candidate_period_error_fraction,candidate_harmonic_error_fraction,candidate_best_harmonic_factor,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,in_transit_observation_count,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value
4945,2715695,5,4,13.907635878626209,tcf,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,5.9538179393131045,1.3179393131043682,3.0,False,1,False,True,False,True,False,,13.907635878626209,,2.0,,6.229548277592039,,0.8713279299148449,,,,0.06773673296981794,5.957297748123435,0.06773673296981794,1.0,1.3190992493744784,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4946,2715695,5,4,9.561520506835613,tcf,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,3.7807602534178066,0.5935867511392688,3.0,False,1,False,True,False,True,False,,9.561520506835613,,3.0,,5.893711482095501,,0.8243543827538388,,,,0.26592939610372984,3.7831526271893248,0.26592939610372984,1.0,0.5943842090631082,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4947,2715695,5,4,14.654551517172392,tcf,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,6.327275758586196,1.4424252528620654,3.0,False,1,False,True,False,True,False,,14.654551517172392,,4.0,,5.73246898995613,,0.8018013691757154,,,,0.1250799989760131,6.330942452043369,0.1250799989760131,1.0,1.4436474840144562,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4948,2715695,5,4,14.257752584194733,tcf,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,6.128876292097367,1.3762920973657888,3.0,False,1,False,True,False,True,False,,14.257752584194733,,5.0,,5.730973185617434,,0.8015921507797874,,,,0.09461638891022202,6.1324437030859045,0.09461638891022202,1.0,1.3774812343619685,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4949,2715695,5,5,1.9989996665555188,bls,True,True,confirmed_planet_host,2.0,8.0,0.001,0.45,0.0005001667222406248,0.0005001667222406248,1.0,False,1,True,False,True,False,False,1.9989996665555188,,1.0,,20.0837842439367,,1.0,,,,,0.8465299644164553,0.0,0.6930599288329109,0.5,0.0,1.0,0.6930599288329109,0.5,,,,,,8.700000000000001,0.0009663072844341,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,0.0024937655860349,,0.0103092783505154
4950,2715695,5,5,4.00166722240747,bls,False,True,confirmed_planet_host,2.0,8.0,0.001,0.45,1.0008336112037348,0.00041680560186740934,2.0,False,1,True,False,True,False,False,4.00166722240747,,2.0,,12.96926785489676,,0.6457581747230821,,,,,0.6927783324373448,1.001834862385321,0.3855566648746896,0.5,0.0009174311926605484,2.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4951,2715695,5,5,1.0,bls,False,True,confirmed_planet_host,2.0,8.0,0.001,0.45,0.5,0.0,0.5,False,1,True,False,True,False,False,1.0,,3.0,,11.264683108314571,,0.5608844912639102,,,,,0.9232265826997414,0.4997497914929108,0.8464531653994829,0.5,0.0005004170141783597,0.5,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4952,2715695,5,5,5.999666555518506,bls,False,True,confirmed_planet_host,2.0,8.0,0.001,0.45,1.9998332777592531,5.55740802489583e-05,3.0,False,1,True,False,True,False,False,5.999666555518506,,4.0,,10.906123071413665,,0.5430312803079542,,,,,0.5393850958707729,2.001334445371142,0.07877019174154576,0.5,0.0004448151237140976,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4953,2715695,5,5,7.997665888629544,bls,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,2.998832944314772,0.33294431477159064,3.0,False,1,True,False,True,False,False,7.997665888629544,,5.0,,8.379690334106119,,0.4172366239512829,,,,,0.3859918593042009,3.000834028356964,0.22801628139159819,0.5,0.33361134278565463,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4954,2715695,5,5,13.025341780593532,tcf,False,False,confirmed_planet_host,2.0,8.0,0.001,0.45,5.512670890296766,1.1708902967655888,3.0,False,1,False,True,False,True,True,,13.025341780593532,,1.0,,7.07465447364352,,1.0,,,,0.0,5.5159299416180145,0.0,1.0,1.171976647206005,3.0,0.6930599288329109,0.5,7.0,7.0,1.0,2.6739680498530447,6.104654183470327,7.571428571428571,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,0.2817955112219451,,0.2061855670103092,
