target_id,injection_count,star_count,tcf_harmonic_rank1_rate,bls_harmonic_rank1_rate,tcf_exact_rank1_rate,bls_exact_rank1_rate,tcf_exact_top10_rate,bls_exact_top10_rate,tcf_detection_rate_fap,bls_detection_rate_fap,tcf_harmonic_recovery_rate_fap,bls_harmonic_recovery_rate_fap,harmonic_union_recovery_rate_fap,tcf_exact_recovery_rate_fap,bls_exact_recovery_rate_fap,exact_union_recovery_rate_fap,exact_tcf_only_rate,exact_bls_only_rate,exact_neither_rate,median_tcf_score,median_bls_sde,median_tcf_exact_rank_top10,median_bls_exact_rank_top10,arima_convergence_rate,median_total_runtime_seconds,quarter,selection_group,noise_quartile
2439243,18,1,0.05555555555555555,0.5555555555555556,0.0,0.5555555555555556,0.3333333333333333,0.6111111111111112,0.0,0.4444444444444444,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.6111111111111112,6.361320974200451,4.951317837070846,3.0,1.0,1.0,14.305339562473819,5,confirmed_planet_host,high_scatter
2441495,18,1,0.6111111111111112,0.9444444444444444,0.5555555555555556,0.9444444444444444,0.6666666666666666,0.9444444444444444,0.4444444444444444,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.2777777777777778,0.8333333333333334,0.8333333333333334,0.0,0.5555555555555556,0.16666666666666666,14.245062442850516,9.228782423572149,1.0,1.0,1.0,14.714066083543003,5,confirmed_planet_host,low_scatter
2442448,18,1,0.6666666666666666,1.0,0.4444444444444444,1.0,0.5555555555555556,1.0,0.05555555555555555,1.0,0.05555555555555555,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,9.723809521380318,19.465901878474604,1.0,1.0,1.0,14.517598250531591,5,confirmed_planet_host,lowest_scatter
2444412,18,1,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.4444444444444444,1.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.6111111111111112,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.4444444444444444,23.612142842556644,3.9373389714903353,1.0,1.0,1.0,13.690054104430601,5,confirmed_planet_host,high_scatter
2556650,18,1,0.0,0.6666666666666666,0.0,0.6666666666666666,0.05555555555555555,0.7222222222222222,0.0,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.3888888888888889,0.6111111111111112,7.096714961353754,5.335445656174251,3.0,1.0,1.0,6.044152479036711,5,confirmed_planet_host,high_scatter
2557816,18,1,0.7222222222222222,0.9444444444444444,0.3888888888888889,0.9444444444444444,0.3888888888888889,1.0,0.0,1.0,0.0,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.05555555555555555,8.238387035158382,16.61152803555717,1.0,1.0,1.0,14.602622895967215,5,confirmed_planet_host,low_scatter
2571238,18,1,0.6111111111111112,0.8333333333333334,0.4444444444444444,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,0.6111111111111112,0.8333333333333334,0.8888888888888888,0.4444444444444444,0.8333333333333334,0.8888888888888888,0.05555555555555555,0.4444444444444444,0.1111111111111111,33.80155990726634,10.493789217709562,1.0,1.0,1.0,14.812736291554756,5,confirmed_planet_host,lowest_scatter
2574338,18,1,0.2777777777777778,0.9444444444444444,0.05555555555555555,0.9444444444444444,0.2777777777777778,1.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,7.032109633268858,15.528577157515048,4.0,1.0,1.0,11.614390604081564,5,confirmed_planet_host,low_scatter
2581316,18,1,0.8888888888888888,0.05555555555555555,0.6666666666666666,0.05555555555555555,0.6666666666666666,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,0.0,0.7777777777777778,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,0.4444444444444444,26.339190052480404,1.5218502707110917,1.0,1.5,1.0,11.69314568710979,5,confirmed_planet_host,lowest_scatter
2581554,18,1,0.8888888888888888,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.2222222222222222,1.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,11.762029020669244,8.718622498994913,1.0,,1.0,11.56288316694554,5,confirmed_planet_host,highest_scatter
2584163,18,1,0.16666666666666666,1.0,0.05555555555555555,1.0,0.1111111111111111,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.107933129035084,18.24731675368898,2.0,1.0,1.0,16.076536812470295,5,confirmed_planet_host,low_scatter
2692377,18,1,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.16666666666666666,0.6111111111111112,0.0,0.5,0.0,0.5,0.3888888888888889,0.0,0.3888888888888889,0.3888888888888889,0.0,0.6111111111111112,17.216696808378586,2.583587253677079,1.0,1.0,1.0,11.932525791460648,5,confirmed_planet_host,highest_scatter
