trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
96,8701617320270248586,True,0.00048380292566360835,9.03003003003003,0.0625,447.5362269027813,8.262896717493536,8.302638305608674,14.781578157815781,0.31547619047619047,447.84992313532695,7,0.8571428571428571,
97,1767470487946089827,True,0.0006650734595341055,14.313313313313314,0.0625,456.0362269027813,9.232062330914538,7.746737013920555,14.08990899089909,0.2648809523809524,456.1510141281395,6,0.8333333333333334,
98,1415059446749479877,True,0.0005260165147296333,13.99099099099099,0.0625,452.46747690278136,7.3363460864287875,4.470629970265123,13.73007300730073,0.4166666666666667,453.679992663286,7,0.7142857142857143,
99,17235899824221508290,True,0.0004542919529453163,11.16016016016016,0.0625,453.4424769027813,8.473703382715595,7.024671675200734,13.06080608060806,0.0625,453.5680252322622,7,0.8571428571428571,
100,9877358317189764559,True,0.0005239773164120245,6.451451451451452,0.0625,446.77997690278136,8.04688322956594,9.3711570641074,12.185718571857185,0.0625,454.7161265664054,7,0.7142857142857143,
101,3676720982380080151,True,0.0005062715731393889,15.0,0.1125,444.2862269027813,10.54222480746047,8.986615681779238,13.366036603660366,0.4166666666666667,449.2683047894691,5,0.8,
102,3555705202506528948,True,0.0005471503091909944,8.37137137137137,0.0625,447.5987269027813,8.024068368596605,4.778621511615353,14.407740774077407,0.0625,444.92194144498023,7,0.7142857142857143,
103,13456902492169009025,True,0.0006877082285528017,13.402402402402402,0.0625,446.63622690278135,10.538874177239563,7.870441896959303,13.40944094409441,0.4166666666666667,446.4689044540731,7,1.0,
104,6441429246316549596,True,0.0004741674163217873,12.057057057057056,0.0625,451.0362269027813,8.532615172255095,7.474844798229709,13.4010401040104,0.0625,448.5576527343889,6,0.8333333333333334,
105,6198472066890464783,True,0.0006465148544605681,14.327327327327327,0.0625,447.06122690278136,18.135684888452786,12.5145925071066,14.312531253125313,0.1130952380952381,447.1356840985009,3,1.0,
106,8146294657389902808,True,0.0005770554047875374,14.85985985985986,0.0625,450.23622690278137,8.481456804405138,9.418942501948273,13.84068406840684,0.2648809523809524,454.5915053680883,6,0.6666666666666666,
107,13204116271378826632,True,0.00048372176656463365,8.763763763763762,0.0625,447.20497690278137,7.633286228172183,6.058007499706834,14.637363736373636,0.0625,451.7913264385729,5,1.0,
108,10367130582373872507,True,0.0005859193824513088,14.887887887887889,0.0625,445.80497690278133,8.592902516413023,6.446653907832058,14.887988798879888,0.0625,445.84000603841093,6,0.6666666666666666,
109,14196120158055349811,True,0.000491569294674031,9.912912912912914,0.0625,449.96122690278133,7.848376191579636,6.083638462235394,10.04910491049105,0.0625,450.78314294092985,9,0.8888888888888888,
110,5207389867662173897,True,0.0005501282656442619,11.776776776776776,0.0625,454.91747690278135,9.384142071288466,5.749534206314286,11.543054305430543,0.0625,449.31400405549664,8,0.625,
111,15614127763192053176,True,0.0005045240555407031,12.197197197197196,0.1125,455.0987269027813,8.605915592882992,9.828724218187,9.043804380438043,0.0625,448.65641143393196,9,0.7777777777777778,
112,3376240511703285849,True,0.00046871787336490953,13.71071071071071,0.0625,444.95497690278137,8.31260173085945,8.74934381053804,13.623662366236623,0.0625,448.1075271859206,6,1.0,
113,11009492187197204475,True,0.000539671634908479,12.72972972972973,0.0625,448.10497690278135,8.488021302903581,6.852453948303019,13.304430443044303,0.0625,448.6823605532048,6,1.0,
114,14609117968214636037,True,0.0005124973461310587,10.36136136136136,0.0625,453.61747690278133,9.885357429176238,9.34743908684699,14.13051305130513,0.31547619047619047,447.53852023388987,4,1.0,
115,12526988464363838859,True,0.0004988481840097034,10.515515515515515,0.0625,443.59247690278136,8.046239591740672,7.360925592024076,14.57995799579958,0.0625,454.7224867104848,6,1.0,
116,4943962669280765226,True,0.000575288958337819,10.557557557557557,0.0625,449.37372690278136,9.322290500568712,5.581840766151459,9.329432943294329,0.0625,447.4110273245631,9,0.7777777777777778,
117,17661683038168291480,True,0.0004584224137947477,14.677677677677677,0.0625,446.22997690278135,8.996974950729406,7.044762307673754,13.144814481448144,0.0625,448.49989138450945,7,0.8571428571428571,
118,10504609351677198180,True,0.0005073821003015544,14.985985985985986,0.0625,452.36747690278133,7.864541340023768,5.86421186249457,14.124912491249125,0.0625,449.72595885444974,6,0.8333333333333334,
119,14356782632173797811,True,0.0005394471557792132,7.18018018018018,0.0625,445.14247690278137,8.919219360259891,6.541280567003258,14.067506750675067,0.0625,444.3092378085231,7,0.8571428571428571,
120,1039698449827618609,True,0.0006361879603278672,15.0,0.0625,450.77997690278136,8.398434150494923,6.386922708313012,14.186518651865185,0.2648809523809524,447.04720535524785,5,0.6,
