ok,target_id,quarter,selection_order,error_type,error
False,5256927,5,823,RuntimeError,"No Kepler light curve found for target='KIC 5256927', quarter=5, author='Kepler', cadence='long'."
False,4757192,5,825,RuntimeError,"No Kepler light curve found for target='KIC 4757192', quarter=5, author='Kepler', cadence='long'."
False,9655227,5,826,RuntimeError,"No Kepler light curve found for target='KIC 9655227', quarter=5, author='Kepler', cadence='long'."
False,9345873,5,845,RuntimeError,"No Kepler light curve found for target='KIC 9345873', quarter=5, author='Kepler', cadence='long'."
False,5129251,5,854,RuntimeError,"No Kepler light curve found for target='KIC 5129251', quarter=5, author='Kepler', cadence='long'."
False,11720076,5,855,RuntimeError,"No Kepler light curve found for target='KIC 11720076', quarter=5, author='Kepler', cadence='long'."
False,6279745,5,865,RuntimeError,"No Kepler light curve found for target='KIC 6279745', quarter=5, author='Kepler', cadence='long'."
False,6185004,5,867,RuntimeError,"No Kepler light curve found for target='KIC 6185004', quarter=5, author='Kepler', cadence='long'."
False,9222282,5,869,RuntimeError,"No Kepler light curve found for target='KIC 9222282', quarter=5, author='Kepler', cadence='long'."
False,5351452,5,873,RuntimeError,"No Kepler light curve found for target='KIC 5351452', quarter=5, author='Kepler', cadence='long'."
False,11233486,5,886,RuntimeError,"No Kepler light curve found for target='KIC 11233486', quarter=5, author='Kepler', cadence='long'."
False,6220286,5,888,RuntimeError,"No Kepler light curve found for target='KIC 6220286', quarter=5, author='Kepler', cadence='long'."
False,7013649,5,887,RuntimeError,"No Kepler light curve found for target='KIC 7013649', quarter=5, author='Kepler', cadence='long'."
False,6757123,5,889,RuntimeError,"No Kepler light curve found for target='KIC 6757123', quarter=5, author='Kepler', cadence='long'."
False,6691854,5,890,RuntimeError,"No Kepler light curve found for target='KIC 6691854', quarter=5, author='Kepler', cadence='long'."
False,10752443,5,895,RuntimeError,"No Kepler light curve found for target='KIC 10752443', quarter=5, author='Kepler', cadence='long'."
False,3444020,5,896,RuntimeError,"No Kepler light curve found for target='KIC 3444020', quarter=5, author='Kepler', cadence='long'."
False,2570575,5,898,RuntimeError,"No Kepler light curve found for target='KIC 2570575', quarter=5, author='Kepler', cadence='long'."
False,7014927,5,900,RuntimeError,"No Kepler light curve found for target='KIC 7014927', quarter=5, author='Kepler', cadence='long'."
False,4826103,5,901,RuntimeError,"No Kepler light curve found for target='KIC 4826103', quarter=5, author='Kepler', cadence='long'."
False,4904535,5,921,RuntimeError,"No Kepler light curve found for target='KIC 4904535', quarter=5, author='Kepler', cadence='long'."
False,8463311,5,926,RuntimeError,"No Kepler light curve found for target='KIC 8463311', quarter=5, author='Kepler', cadence='long'."
False,6425992,5,932,RuntimeError,"No Kepler light curve found for target='KIC 6425992', quarter=5, author='Kepler', cadence='long'."
False,9334410,5,940,RuntimeError,"No Kepler light curve found for target='KIC 9334410', quarter=5, author='Kepler', cadence='long'."
False,8946587,5,969,RuntimeError,"No Kepler light curve found for target='KIC 8946587', quarter=5, author='Kepler', cadence='long'."
False,6851327,5,971,RuntimeError,"No Kepler light curve found for target='KIC 6851327', quarter=5, author='Kepler', cadence='long'."
False,6267065,5,977,RuntimeError,"No Kepler light curve found for target='KIC 6267065', quarter=5, author='Kepler', cadence='long'."
False,3953701,5,978,RuntimeError,"No Kepler light curve found for target='KIC 3953701', quarter=5, author='Kepler', cadence='long'."
False,7014739,5,979,RuntimeError,"No Kepler light curve found for target='KIC 7014739', quarter=5, author='Kepler', cadence='long'."
False,10653300,5,980,RuntimeError,"No Kepler light curve found for target='KIC 10653300', quarter=5, author='Kepler', cadence='long'."
