target_id,quarter,selection_order,population_cohort,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,original_series_stationarity_conclusion,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad,v2_amplitude_population_label,v2_memory_population_label,v2_acf1_operational_label,v2_quiet_candidate,v2_low_scatter_structured_candidate,v2_correlated_stochastic_candidate,v2_evolving_variability_candidate,v2_quasi_periodic_candidate,v2_coherent_periodic_candidate,v2_rotation_spot_review_flag,v2_pulsation_review_flag,v2_dominant_statistical_behaviour
7446226,5,1060,population_expansion_900,0.00045661285062314756,0.47652067433892137,0.0006687472135532769,0.023589802770908875,0.020434395235497504,conflicting_rejections,0.0013737560985085005,0.3140713920842401,15.776262894202924,,0.06020192704739787,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
10088639,5,1061,population_expansion_900,0.00018747488623305493,0.2288539393387431,0.0,0.03226360247225845,0.02043432230129838,stationary_supported,0.0008102472764605641,0.19626358370829142,0.3648873582633702,,0.024886500000258445,low,low,weak,True,False,False,False,False,False,False,False,Quiet / low variability
11565562,5,1062,population_expansion_900,0.0002797761557430125,3.613241261307102,0.0008916629514043691,0.24845159539862685,0.020434245830983855,stationary_supported,0.015842624429452962,0.04474142985068077,12.454134000124146,,0.07854181536033765,typical,typical,moderate,False,False,False,True,False,False,False,False,Evolving variability
11190734,5,1063,population_expansion_900,0.0003554181545727484,0.24379703811724857,0.00022291573785109228,0.2570872921507853,0.020434249709069263,stationary_supported,0.018404379135825637,0.02385308778532719,14.789286870820895,,0.12068301447625197,typical,typical,moderate,False,False,False,True,False,False,False,False,Evolving variability
12556904,5,1064,population_expansion_900,0.0008999790601086504,-0.38441576513300957,0.0,0.9858835490873329,3.0446911339167855,nonstationary_supported,0.07793588876173649,0.03335264855626045,14.789227464461536,,0.2234654196284179,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
12471119,5,1066,population_expansion_900,0.0004240857884701875,2.4302817755227037,0.0017833259028087382,0.10407256143489425,0.020434209822269622,stationary_supported,0.007726751751439805,0.020365486723131397,18.20216036169214,,0.045397476227352504,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
4671352,5,1067,population_expansion_900,0.0006175734443333875,0.29056559722668474,0.0006687472135532769,-0.0012609249418067355,0.02043450647033751,conflicting_rejections,0.000789889412602151,0.2219034182831814,0.13125456486260795,,0.04556197783466499,typical,low,weak,False,False,False,False,False,False,False,False,Mixed / complex
9785109,5,1068,population_expansion_900,0.00029901378233216963,4.2954444205583915,0.001560410164957646,0.019382237480617487,0.02043434017105028,stationary_supported,0.0008139637679498584,0.13179513392819056,0.04682490534743714,,0.022935497080486013,typical,low,weak,False,False,False,False,False,False,False,False,Low-scatter structured
3852451,5,1070,population_expansion_900,0.0002201252367903661,-0.018952903859027585,0.0006687472135532769,0.7414200159551508,0.7356421176809818,stationary_supported,0.020238821152364236,0.8092113506341067,6.227613413399409,,0.16800961510893853,low,high,strong,False,True,True,True,False,False,False,False,Evolving variability
9723894,5,1071,population_expansion_900,0.0003755612523110783,1.3093475998711457,0.0011145786892554615,0.01404389342173203,0.0204343404766405,stationary_supported,0.0009106342088403323,0.09604351524010009,0.2219790455006855,,0.04548342303554081,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
2996950,5,1072,population_expansion_900,0.0032156083791581975,-0.04209186955054012,0.00022291573785109228,0.9359631283471047,3.6373463064664975,inconclusive_low_power,0.15369407307547991,0.006649163559044476,20.57668298573117,,0.2381408499660493,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
10351880,5,1073,population_expansion_900,0.00019403868369594022,0.7647923783392137,0.0006687472135532769,0.4407181305902536,0.7560695288702846,stationary_supported,0.02488886311746419,0.13843999458773165,18.93034420943125,,0.0703294661733713,low,typical,moderate,False,True,False,True,False,False,False,False,Evolving variability
8283373,5,1075,population_expansion_900,0.0003271459646122406,0.36867550893940754,0.0008916629514043691,0.033073871185419323,0.020434308498806786,stationary_supported,0.0011255756322855449,0.091721041836169,16.31926077870699,,0.021855059760853054,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
7434302,5,1076,population_expansion_900,0.00042873741586491325,2.9265572695307993,0.0008916629514043691,-0.009390266744777236,0.020434368401765823,stationary_supported,0.000776530648239655,0.1845280091566676,0.9084454754305245,,0.0421914932681727,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
4458639,5,1078,population_expansion_900,0.0007923942576010208,4.0854016786714675,0.00044583147570218456,0.33810863100787314,0.020434473059140146,conflicting_rejections,0.02260759465627055,0.12522101555074122,13.521782497643246,,0.13593548735343278,high,typical,moderate,False,False,False,True,False,False,False,False,Evolving variability
5172043,5,1079,population_expansion_900,0.00010290116017436696,4.3613786015001885,0.0008918617614269788,0.09854626499346433,0.020434433303307742,stationary_supported,0.0013806040164860685,0.17002758261888004,8.159680131978588,,0.023600571428771592,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
6549600,5,1080,population_expansion_900,0.0004952033937730395,15.0868336448609,0.0013374944271065537,0.1015273197310339,0.020434468693565577,stationary_supported,0.00464127565120349,0.03485648668218138,10.288310357896851,,0.07129385749376585,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
7107894,5,1083,population_expansion_900,0.0002679656105838581,0.03175708508105978,0.0,0.30011599976135994,0.020434377889614552,stationary_supported,0.0016599210704799192,0.003139925606781822,0.04338231517065972,13.601934269438805,0.04783554198545019,typical,typical,moderate,False,False,False,False,False,False,False,False,Short-memory stochastic
6205129,5,1084,population_expansion_900,0.00026850078018952027,15.354081088709542,0.0013374944271065537,0.044311756029699466,0.020434430327441078,stationary_supported,0.000791223555201985,0.04415533020253394,0.19671743181605522,,0.05667748251714826,typical,low,weak,False,False,False,False,False,False,False,False,Low-scatter structured
12257237,5,1085,population_expansion_900,0.008901110934622562,-0.144550319512846,0.00022291573785109228,0.9721249859555556,1.8799450083170086,stationary_supported,0.16633200030985987,0.05022985626780334,10.516792817315508,,0.17657946909830588,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
9590381,5,1086,population_expansion_900,0.00015587194957520883,2.740551431940818,0.0013374944271065537,0.48797553552672845,0.6743326090509072,stationary_supported,0.020852829513924385,0.11503017946422463,14.78933960985335,,0.07475752668420946,low,typical,moderate,False,True,False,False,False,False,False,False,Low-scatter structured
3744781,5,1087,population_expansion_900,0.000490452794951672,0.192602604096468,0.0002229654403567447,0.8662904260926263,2.2682293976540677,nonstationary_supported,0.05115646670093961,0.09804482601431737,13.14619410605094,,0.32661925805129044,typical,high,strong,False,False,True,True,False,False,False,False,Evolving variability
12003977,5,1088,population_expansion_900,0.0004929829756362865,-0.1512944849761555,0.00022291573785109228,0.7631652418560335,1.123878797807265,stationary_supported,0.033270658619821016,0.062497096832186246,11.267979305677025,,0.1341736591177674,typical,high,strong,False,False,True,True,False,False,False,False,Evolving variability
12217049,5,1089,population_expansion_900,0.00024363980264663509,-0.03521640180521866,0.00044583147570218456,0.7847240080103356,0.9808426424860954,stationary_supported,0.10118436308076112,0.01353886384190657,6.573007408058018,,0.18505240596778444,low,high,strong,False,True,True,True,False,False,False,False,Evolving variability
10066053,5,1090,population_expansion_900,0.0003783993762161581,1.0451824194349004,0.00044583147570218456,0.5339942867330382,0.04086852572800126,stationary_supported,0.0036815698242510042,0.20073100265465846,14.341136917271484,0.843264245505319,0.02631355238010748,typical,typical,strong,False,False,False,False,False,False,False,False,Mixed / complex
3215855,5,1091,population_expansion_900,0.0001854044783110018,0.3845603107633536,0.0006688963210702341,0.335512260058251,0.020434482430573553,stationary_supported,0.023646226187656796,0.3169516226915379,13.521784656562792,,0.1012281525716989,low,typical,moderate,False,True,False,False,False,False,False,False,Low-scatter structured
9353346,5,1092,population_expansion_900,0.0003531484752862579,18.86149933399545,0.002229157378510923,-0.011406312128080418,0.020434354482858907,conflicting_rejections,0.00082885711272221,0.024735748913597647,0.06057335847467705,24.469840245044676,0.013104395069521673,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
8736693,5,1093,population_expansion_900,0.0021276765465581176,0.24001994009207583,0.0,0.9446757970235662,2.063862736977171,stationary_supported,0.1341116579316266,0.06599490867914623,12.454157989276775,,0.12386835151008857,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
7596137,5,1094,population_expansion_900,0.0002486327526876801,4.690298284651045,0.0013374944271065537,0.49123471560255316,0.7356367938627955,stationary_supported,0.026205258614792802,0.2135652161181745,8.303393219102068,,0.11364932517908456,low,typical,moderate,False,True,False,True,False,False,False,False,Evolving variability
6191637,5,1095,population_expansion_900,0.0004568293457362545,32.39443242760825,0.002452073116362015,0.021020403178880435,0.02043440006673336,stationary_supported,0.0023868970443584386,0.14125842696068244,17.528173971235905,,0.05337804817096583,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
1576117,5,1096,population_expansion_900,0.00047078967131759553,0.2533190502200874,0.0004459308807134894,0.016977620179411134,0.02043455169405206,conflicting_rejections,0.001406247531912564,0.10479711476790474,2.6890012013711955,,0.019394022083446393,typical,low,weak,False,False,False,False,False,False,False,False,Mixed / complex
4248950,5,1097,population_expansion_900,0.0003481064365713556,0.6451733733828556,0.0006687472135532769,0.13003267883168104,0.020434466016013175,stationary_supported,0.005466308903412218,0.004898992225638913,13.521776581059386,,0.08290627047185035,typical,typical,weak,False,False,False,False,False,False,False,False,Mixed / complex
5957117,5,1098,population_expansion_900,0.000918532637735907,0.16717045983149004,0.00044583147570218456,0.48648240075398963,0.40868864045478404,stationary_supported,0.012311355334715472,0.39996187371860664,11.26887229677144,,0.057199640822439564,high,typical,moderate,False,False,False,False,False,False,False,False,Quasi-periodic / structured
5563287,5,1099,population_expansion_900,0.00024398013526372758,6.688771122375167,0.0008916629514043691,0.43894981922072984,0.44955898611806333,conflicting_rejections,0.02638887883178541,0.5069187316368139,47.326295588733046,,0.0547099188697351,low,typical,moderate,False,True,False,True,False,False,False,False,Evolving variability
10360560,5,1100,population_expansion_900,0.00020858536004419984,0.5502353517937245,0.0006687472135532769,0.14915286638195568,0.020434328413102776,stationary_supported,0.0041953495472910746,0.37296719133680745,9.465179820076667,,0.03176386797889633,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
12021604,5,1101,population_expansion_900,0.00036049109867277823,1.4593888900760368,0.0006687472135532769,0.0374476387260528,0.020434231548279058,conflicting_rejections,0.002166145903647022,0.03805192142773048,47.32565457552846,,0.020996617222441893,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
9631561,5,1102,population_expansion_900,0.00019679326318064637,-0.04178960045576296,0.0,0.48867102329563605,0.18390815262682736,stationary_supported,0.009985548813490792,0.10458239873568895,27.83863957005601,,0.03785591829353813,low,typical,moderate,False,True,False,False,False,False,False,False,Low-scatter structured
2574713,5,1103,population_expansion_900,0.0004490243385222262,4.2562104699608785,0.0008918617614269788,0.1901841346176645,0.020434529778867727,stationary_supported,0.014473183929781195,0.03265925555121412,14.34132364805705,,0.053932092476611314,typical,typical,weak,False,False,False,False,False,False,False,False,Mixed / complex
11868434,5,1104,population_expansion_900,0.00048017694535532686,0.8960720995898296,0.0013374944271065537,0.022647111939060924,0.02043422730639577,stationary_supported,0.0028783578931815385,0.02088757407155334,16.902023037031466,,0.027712149532510583,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
10734822,5,1105,population_expansion_900,0.0007675578429766583,12.430413299301728,0.0008916629514043691,0.4221577397387718,0.899108242476359,stationary_supported,0.051442225342186385,0.06637459099823435,15.266382030204712,,0.07210365597207691,high,typical,moderate,False,False,False,False,False,False,False,False,Long-memory / correlated
