target_id,quarter,selection_order,population_cohort,selection_group
11240404,5,339,population_expansion_900,random_clean_q5_population_expansion
6451558,5,340,population_expansion_900,random_clean_q5_population_expansion
8495491,5,341,population_expansion_900,random_clean_q5_population_expansion
3935903,5,342,population_expansion_900,random_clean_q5_population_expansion
2581014,5,343,population_expansion_900,random_clean_q5_population_expansion
5088826,5,344,population_expansion_900,random_clean_q5_population_expansion
7810556,5,345,population_expansion_900,random_clean_q5_population_expansion
11869967,5,346,population_expansion_900,random_clean_q5_population_expansion
10026881,5,347,population_expansion_900,random_clean_q5_population_expansion
11967207,5,348,population_expansion_900,random_clean_q5_population_expansion
5483054,5,349,population_expansion_900,random_clean_q5_population_expansion
9655631,5,350,population_expansion_900,random_clean_q5_population_expansion
10119898,5,351,population_expansion_900,random_clean_q5_population_expansion
3439167,5,353,population_expansion_900,random_clean_q5_population_expansion
11414879,5,354,population_expansion_900,random_clean_q5_population_expansion
3120700,5,356,population_expansion_900,random_clean_q5_population_expansion
4274328,5,359,population_expansion_900,random_clean_q5_population_expansion
3951823,5,360,population_expansion_900,random_clean_q5_population_expansion
6208077,5,361,population_expansion_900,random_clean_q5_population_expansion
9773480,5,362,population_expansion_900,random_clean_q5_population_expansion
6615284,5,363,population_expansion_900,random_clean_q5_population_expansion
10555940,5,365,population_expansion_900,random_clean_q5_population_expansion
6607191,5,366,population_expansion_900,random_clean_q5_population_expansion
8554732,5,367,population_expansion_900,random_clean_q5_population_expansion
8517005,5,369,population_expansion_900,random_clean_q5_population_expansion
7740182,5,370,population_expansion_900,random_clean_q5_population_expansion
3446488,5,371,population_expansion_900,random_clean_q5_population_expansion
8490701,5,372,population_expansion_900,random_clean_q5_population_expansion
11498695,5,373,population_expansion_900,random_clean_q5_population_expansion
7523605,5,374,population_expansion_900,random_clean_q5_population_expansion
5876689,5,375,population_expansion_900,random_clean_q5_population_expansion
11912541,5,376,population_expansion_900,random_clean_q5_population_expansion
4939640,5,378,population_expansion_900,random_clean_q5_population_expansion
