branch,feature,outcome,n_stars,spearman_rho,interpretation_scope
raw,spectral_concentration,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,harmonic_power_ratio,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,harmonic_power_ratio,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,harmonic_power_ratio,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,harmonic_power_ratio,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,dominant_period_days,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,dominant_period_days,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,dominant_period_days,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,dominant_period_days,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,period_agreement_error,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,period_agreement_error,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,period_agreement_error,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,period_agreement_error,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,segment_scale_variability,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,segment_scale_variability,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,segment_scale_variability,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,segment_scale_variability,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
