trial,trial_seed,success,arima_refitted,arima_converged,max_score,best_raw_pooled_score,best_period,best_duration,best_epoch,best_valid_transit_events,best_positive_transit_events,best_positive_event_fraction,best_median_event_score,requested_period_count,evaluated_period_count,coarse_period_count,refined_period_count,error
550,8985437813789464301,True,False,False,8.055926114035074,7.054351925278345,13.905090509050904,0.0625,450.9551023957314,7,6,0.8571428571428571,3.0448538682925386,10000,2962,2000,962,
551,13883227549761429111,True,False,False,7.939371322757583,9.998763988866632,13.206420642064206,0.21428571428571427,454.9542121527376,7,6,0.8571428571428571,3.000800298030641,10000,2952,2000,952,
552,13964140395203644674,True,False,False,8.578335951430512,10.427600333280365,14.456745674567456,0.1130952380952381,451.77763799664774,6,5,0.8333333333333334,3.502090987196203,10000,2961,2000,961,
553,2508542541743094218,True,False,False,8.360368287883906,8.092625351373263,10.975997599759976,0.2648809523809524,447.7622159334196,7,7,1.0,3.1599221940930957,10000,2941,2000,941,
554,2139919648108246242,True,False,False,10.769803545654867,10.436373733895582,10.982998299829983,0.4166666666666667,453.9151183537162,6,4,0.6666666666666666,4.39675388614525,10000,2961,2000,961,
555,1703288089846094842,True,False,False,8.556871954695058,5.14944276784734,13.968096809680969,0.0625,449.3727406374538,7,5,0.7142857142857143,3.2341935989637536,10000,2948,2000,948,
556,6040457991772732131,True,False,False,8.860501424562191,9.327120636943482,11.041804180418042,0.0625,452.34523477770597,7,6,0.8571428571428571,3.3489547515321556,10000,2960,2000,960,
557,5997234223300645899,True,False,False,7.697606630863273,8.424461087332759,13.031403140314032,0.1130952380952381,455.3430243583032,7,6,0.8571428571428571,2.90942183366657,10000,2956,2000,956,
558,1452374628407745950,True,False,False,7.964484312559921,10.23442093230847,10.071507150715071,0.0625,448.78252565783447,8,7,0.875,2.815870433032499,10000,2961,2000,961,
559,17200506455001320509,True,False,False,8.014583515033939,6.456347771700164,14.683568356835684,0.36607142857142855,451.5874582269773,6,4,0.6666666666666666,3.2719400187924643,10000,2961,2000,961,
560,8371405031862082219,True,False,False,11.769174560259616,8.13769933559981,10.691769176917692,0.0625,453.1609713724334,7,5,0.7142857142857143,4.448329860422129,10000,2961,2000,961,
561,13269197236269911046,True,False,False,7.870806151549895,4.527045803153376,13.47944794479448,0.0625,450.8642785339335,7,5,0.7142857142857143,2.9748850992283398,10000,2960,2000,960,
562,4912513590634132163,True,False,False,9.477146567070449,9.715113370472766,14.894989498949895,0.0625,452.89015740782907,6,5,0.8333333333333334,3.869028884481979,10000,2960,2000,960,
563,14671139353657491849,True,False,False,7.969541833045163,4.872686042084735,11.323232323232324,0.2648809523809524,452.81057513626,7,6,0.8571428571428571,3.012203679051906,10000,2960,2000,960,
564,3052724324212798612,True,False,False,8.261826516768426,5.298038417778385,13.122412241224122,0.0625,450.07301728164003,7,5,0.7142857142857143,3.1226769055040373,10000,2960,2000,960,
565,16251675005094524581,True,False,False,8.441363550640517,8.456698446133222,13.913491349134913,0.0625,450.56051851402543,7,6,0.8571428571428571,3.190535525897142,10000,2960,2000,960,
566,5534862699643624474,True,False,False,9.835690367252045,9.035899520922401,12.727572757275727,0.31547619047619047,453.0154615344566,6,5,0.8333333333333334,4.015403777962533,10000,2962,2000,962,
567,1696293234675937988,True,False,False,8.189172420435044,5.954367886464221,10.312331233123311,0.1130952380952381,443.55757782938633,9,6,0.6666666666666666,2.7297241401450147,10000,2961,2000,961,
568,554674878820173629,True,False,False,10.621380081131957,11.17610972926376,14.48054805480548,0.31547619047619047,456.8730291325728,6,5,0.8333333333333334,4.336160260489049,10000,2961,2000,961,
569,6630846609765539327,True,False,False,13.836890142265522,10.869705401238752,13.769276927692768,0.36607142857142855,448.89349735503134,4,3,0.75,6.918445071132761,10000,2960,2000,960,
570,1347013469039527839,True,False,False,8.098096436664076,5.900727831407345,9.445644564456446,0.0625,446.8239072348988,9,6,0.6666666666666666,2.699365478888025,10000,2960,2000,960,
571,9284775850557837434,True,False,False,8.339792483466889,5.479299436796488,14.39093909390939,0.0625,454.672961177766,6,4,0.6666666666666666,3.404706024198732,10000,2961,2000,961,
572,12844517965571681773,True,False,False,9.767641924530803,8.754232398101157,12.8997899789979,0.4166666666666667,454.9940899253341,7,5,0.7142857142857143,3.6918216325481192,10000,2961,2000,961,
573,6155821919422756506,True,False,False,14.629155165274717,9.982212449456181,14.292929292929292,0.0625,452.61100991307995,5,4,0.8,6.542357080589287,10000,2960,2000,960,
574,6458912629932320309,True,False,False,9.809335382815922,5.840164246874582,13.468246824682469,0.4166666666666667,450.5558672442081,5,3,0.6,4.386868146014065,10000,2961,2000,961,
575,2047963119978902079,True,False,False,8.292436528205592,7.264058124411618,12.086308630863085,0.0625,454.4733096358592,7,5,0.7142857142857143,3.134246402345692,10000,2960,2000,960,
576,18272753659013710875,True,False,False,8.6345371235165,5.744310861691421,12.072307230723071,0.0625,453.9091437438047,7,6,0.8571428571428571,3.2635482735685226,10000,2949,2000,949,
577,7641368053042686288,True,False,False,9.793010337577797,8.921906503037897,12.90959095909591,0.2648809523809524,451.78366214272836,7,5,0.7142857142857143,3.701409991416506,10000,2960,2000,960,
