target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
11450313,5,smooth_background_dominant,5,tls,,,,gp,0.0928811208455616,10.0,8.0,0.0005,0.75
11450313,5,smooth_background_dominant,5,trapezoid,,,,arima|kalman,0.3330275229357797,10.0,8.0,0.0005,0.75
11666946,5,smooth_background_dominant,0,bls,,,,gp,1.96371976647206,2.0,2.0,0.0002,0.15
11666946,5,smooth_background_dominant,0,tls,,,gp,gp,0.4993773263329121,2.0,2.0,0.0002,0.15
11666946,5,smooth_background_dominant,0,trapezoid,,,,gp,1.969557964970809,2.0,2.0,0.0002,0.15
11666946,5,smooth_background_dominant,1,bls,gp,gp,kalman|gp,gp,0.0020850708924102,2.0,4.0,0.0005,0.45
11666946,5,smooth_background_dominant,1,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0001463150698776,2.0,4.0,0.0005,0.45
11666946,5,smooth_background_dominant,1,trapezoid,gp,gp,kalman|gp,gp,0.0020850708924102,2.0,4.0,0.0005,0.45
11666946,5,smooth_background_dominant,2,bls,,,,gp,0.1878231859883236,5.0,2.0,0.0005,0.75
11666946,5,smooth_background_dominant,2,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0001400943188098,5.0,2.0,0.0005,0.75
11666946,5,smooth_background_dominant,2,trapezoid,,,,gp,0.1878231859883236,5.0,2.0,0.0005,0.75
11666946,5,smooth_background_dominant,3,bls,,,,gp,0.1854879065888239,5.0,8.0,0.0002,0.45
11666946,5,smooth_background_dominant,3,tls,gp,gp,gp,gp,0.0019114354436471,5.0,8.0,0.0002,0.45
11666946,5,smooth_background_dominant,3,trapezoid,,,,gp,0.1878231859883236,5.0,8.0,0.0002,0.45
11666946,5,smooth_background_dominant,4,bls,,,,gp,0.407256046705588,10.0,4.0,0.0002,0.15
11666946,5,smooth_background_dominant,4,tls,,,,kalman,0.1396931715944216,10.0,4.0,0.0002,0.15
