target_id,quarter,sample_role,sample_stratum,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,stationarity_state,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability
7989712,5,development,uncharacterized,0.0019500338383577,-0.5342397648710042,0.0,0.9937236122910484,0.469991905731149,stationary_supported,0.107024448715466,0.1026888502056097,3.0731260003307233,0.0092400469154796,0.2123071961409755
8038388,5,development,uncharacterized,0.0005987708367138,-0.1034128035468259,0.0,0.9962285151581188,2.1251771771349013,conflicting_rejections,0.0605373036978856,0.1295578605887592,12.454226404103816,0.0582901699201611,0.3554718539698683
8212082,5,development,uncharacterized,0.0003621934170122,0.1685418802689732,0.0004458314757021,0.5028345937175945,1.1238863915787078,stationary_supported,0.0181614470977744,0.2338061694912173,11.542884537876729,0.4870468718444428,0.0474222293653809
8277175,5,development,uncharacterized,0.0038500050816003,0.3103422634896759,0.0004459308807134,0.9172413470011176,1.1034515843493864,stationary_supported,0.0773852493868693,0.1098786898926558,4.422972760089643,0.0094776298836417,0.137651739793837
8327995,5,development,uncharacterized,0.0029416954648971,-0.2113279046995314,0.0,0.8689667579940586,2.3090890821185894,inconclusive_low_power,0.0634253555737394,0.216481979325897,18.202346828049805,0.0625649289914879,0.0717123033358
8414473,5,development,uncharacterized,0.0004067806218618,-0.1881545564032475,0.000222915737851,0.960872421896832,0.3882517510210164,stationary_supported,0.0234080670580955,0.0586883573811032,3.3094996185396424,4.529209899947257,0.1084035137574957
8442207,5,development,uncharacterized,0.0003089652451139,0.024915877433254,0.0006687472135532,0.7297881807039901,1.655185428848199,inconclusive_low_power,0.0389018420591172,0.7204588219897858,9.101161807630003,0.998272936326974,0.0429544590307713
8487804,5,development,uncharacterized,8.045436165127644e-05,0.9347754777954173,0.0011145786892554,0.291095572082551,0.0204343355144374,stationary_supported,0.00828238786193,0.2814164251373578,29.579660060584636,0.1454508611800634,0.0579834998556659
8939341,5,development,uncharacterized,0.0011264608461658,0.6540667591555333,0.0008916629514043,0.8350184042504666,2.615589387714863,inconclusive_low_power,0.0869541567785936,0.0224351966506919,16.320173126611078,0.0085568426282489,0.1691658179094252
9147169,5,development,uncharacterized,7.61255305295389e-05,0.1547808408759096,0.0004458314757021,0.5440305316001799,0.3678175342502072,stationary_supported,0.0125730617070946,0.4446771595470167,5.991066923454762,1.9997951348623415,0.0725276450501992
9414701,5,development,uncharacterized,0.0040853014387058,-0.165204505679285,0.0,0.9884775071819648,5.067718657664955,inconclusive_low_power,0.1510451783741041,0.0794632477719526,31.550628981938083,0.0032381356098274,0.3038906064209191
9451256,5,development,uncharacterized,0.0099408666766643,-0.5399213267062961,0.0,0.9989516840307676,4.107287270016968,stationary_supported,0.1709951421794976,0.0986556638831894,23.66287839773637,0.001727136932808,0.1003389662643268
9542723,5,development,uncharacterized,0.0063424481273296,0.3640680796007376,0.0,0.9950972407213372,1.409970330794749,stationary_supported,0.1289470161533706,0.0458577908044739,8.7640663620291,0.0049223289168524,0.33061424479953
9603403,5,development,uncharacterized,0.0125987708390313,0.2755146131728968,0.000222915737851,0.9865212786263512,6.559425960236695,conflicting_rejections,0.1361172484517749,0.1232869764415954,33.80424532829105,0.0639034687421659,0.0880847900580558
9655727,5,development,uncharacterized,0.0003103310593332,2.2473405524755448,0.0013374944271065,0.5929938608272809,0.2452119395602494,stationary_supported,0.0119916114258092,0.0977769848690438,3.073110632146891,0.069084616866634,0.0614293130131703
