dataset_kind,target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_error,bls_error
null_trial,1725016,5,7,1.0724234887649022e+19,True,True,,
original,1849702,5,-1,,True,True,,
null_trial,1849702,5,0,3.3643283217894897e+18,True,True,,
null_trial,1849702,5,1,1.6768132843277169e+19,True,True,,
null_trial,1849702,5,2,1.4709542386334392e+19,True,True,,
null_trial,1849702,5,3,1.3636795309223764e+19,True,True,,
null_trial,1849702,5,4,9.439293030077624e+18,True,True,,
null_trial,1849702,5,5,2.7009259263628067e+17,True,True,,
null_trial,1849702,5,6,1.6417252978264646e+19,True,True,,
null_trial,1849702,5,7,7.036445915052382e+18,True,True,,
original,1724719,5,-1,,True,True,,
null_trial,1724719,5,0,1.597187275356153e+19,True,True,,
null_trial,1724719,5,1,1.5605065430616883e+19,True,True,,
null_trial,1724719,5,2,5.879050433226083e+18,True,True,,
null_trial,1724719,5,3,6.3653849490822e+18,True,True,,
null_trial,1724719,5,4,1.5972673019183184e+19,True,True,,
null_trial,1724719,5,5,1.1513438051630124e+18,True,True,,
null_trial,1724719,5,6,9.166582998625636e+18,True,True,,
null_trial,1724719,5,7,1.2194731344374456e+19,True,True,,
original,1865042,5,-1,,True,True,,
null_trial,1865042,5,0,4.905971355788738e+18,True,True,,
null_trial,1865042,5,1,6.371525372189842e+18,True,True,,
null_trial,1865042,5,2,1.1232332031658795e+19,True,True,,
null_trial,1865042,5,3,1.041941454961241e+19,True,True,,
null_trial,1865042,5,4,7.424071376767807e+18,True,True,,
null_trial,1865042,5,5,9.545802961710004e+18,True,True,,
null_trial,1865042,5,6,2.7903372244597453e+18,True,True,,
null_trial,1865042,5,7,3.0238329911436344e+18,True,True,,
original,1871056,5,-1,,True,True,,
null_trial,1871056,5,0,1.0533055866703395e+18,True,True,,
null_trial,1871056,5,1,1.5668123500918034e+19,True,True,,
null_trial,1871056,5,2,8.766880755358224e+18,True,True,,
null_trial,1871056,5,3,5.919104750065202e+16,True,True,,
null_trial,1871056,5,4,8.909876581530772e+17,True,True,,
null_trial,1871056,5,5,4.2650292619925074e+18,True,True,,
null_trial,1871056,5,6,7.149435663894311e+18,True,True,,
null_trial,1871056,5,7,1.0861675214262883e+18,True,True,,
original,1872821,5,-1,,True,True,,
null_trial,1872821,5,0,4.692596675388343e+18,True,True,,
null_trial,1872821,5,1,1.0901813405934752e+19,True,True,,
null_trial,1872821,5,2,1.1312935319331035e+19,True,True,,
null_trial,1872821,5,3,8.571700237483621e+18,True,True,,
null_trial,1872821,5,4,1.2795974498366532e+19,True,True,,
null_trial,1872821,5,5,1.8040603615682406e+19,True,True,,
null_trial,1872821,5,6,6.319304834966743e+18,True,True,,
null_trial,1872821,5,7,1.5811745316362885e+19,True,True,,
original,1995519,5,-1,,True,True,,
null_trial,1995519,5,0,1.181561645820515e+19,True,True,,
null_trial,1995519,5,1,1.5491728336498432e+19,True,True,,
null_trial,1995519,5,2,4.9143518002205485e+17,True,True,,
null_trial,1995519,5,3,5.158537680472375e+18,True,True,,
null_trial,1995519,5,4,3.376817514245011e+18,True,True,,
null_trial,1995519,5,5,1.7080995041508073e+19,True,True,,
null_trial,1995519,5,6,8.11501418950501e+18,True,True,,
null_trial,1995519,5,7,1.1710021576267966e+19,True,True,,
original,11086270,5,-1,,True,True,,
null_trial,11086270,5,0,6.018015654061857e+18,True,True,,
null_trial,11086270,5,1,5.604957870974442e+18,True,True,,
null_trial,11086270,5,2,1.2136705432613562e+19,True,True,,
null_trial,11086270,5,3,1.4755433670638498e+19,True,True,,
null_trial,11086270,5,4,3.6020021460896507e+18,True,True,,
null_trial,11086270,5,5,6.395644502733274e+18,True,True,,
null_trial,11086270,5,6,1.4498169023872604e+19,True,True,,
null_trial,11086270,5,7,3.416691406193344e+18,True,True,,
original,1996180,5,-1,,True,True,,
null_trial,1996180,5,0,1.5906041907122772e+19,True,True,,
null_trial,1996180,5,1,5.483966535782685e+18,True,True,,
null_trial,1996180,5,2,6.111903730748725e+18,True,True,,
null_trial,1996180,5,3,1.275070111229256e+19,True,True,,
