configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,predicted_background,filtered_background,kalman_residual,kalman_gain
fixed_q_over_r_0.01,1,489.51122690278135,489.2633697262572,-0.24785717652412131,-0.00024002604540351857,-0.00024002604540351857,False,-0.00025760602394677616,-0.0002558995739201553,1.757997854325759e-05,0.09706781054493026
fixed_q_over_r_0.01,1,489.51122690278135,489.28380384651973,-0.22742305626161397,-0.0002550949451148865,-0.0002550949451148865,False,-0.0002558995739201553,-0.0002558217558825781,8.046288052687874e-07,0.09671296511839549
fixed_q_over_r_0.01,1,489.51122690278135,489.304238066783,-0.20698883599834517,-0.000243764945331848,-0.000243764945331848,False,-0.0002558217558825781,-0.0002546591978894118,1.2056810550730086e-05,0.09642334415679259
fixed_q_over_r_0.01,1,489.51122690278135,489.32467238703975,-0.18655451574159088,-0.00024875014523639827,-0.00024875014523639827,False,-0.0002546591978894118,-0.00025409082489958527,5.909052653013528e-06,0.09618682100195389
fixed_q_over_r_0.01,1,489.51122690278135,489.34510650724405,-0.1661203955372912,-0.00020762224602399737,-0.00020762224602399737,False,-0.00025409082489958527,-0.0002496301401638841,4.64685788755879e-05,0.09599356906618425
fixed_q_over_r_0.01,1,489.51122690278135,489.3655407273909,-0.1456861753904377,-0.0001408885473019872,-0.0001408885473019872,False,-0.0002496301401638841,-0.00023920882320893478,0.00010874159286189693,0.09583561064977719
fixed_q_over_r_0.01,1,489.51122690278135,489.38597504758945,-0.12525185519189108,-0.00014394764724334763,-0.00014394764724334763,False,-0.00023920882320893478,-0.00023009171336689442,9.526117596558715e-05,0.09570645910705415
fixed_q_over_r_0.01,1,489.51122690278135,489.40640916773555,-0.10481773504579905,-0.00016490814684200217,-0.00016490814684200217,False,-0.00023009171336689442,-0.00022386011007601743,6.518356652489225e-05,0.09560083350912187
fixed_q_over_r_0.01,1,489.51122690278135,489.4268433878242,-0.08438351495715324,-0.00022609014567032126,-0.00022609014567032126,False,-0.00022386011007601743,-0.00022407311065486654,-2.230035594303828e-06,0.09551443008047493
fixed_q_over_r_0.01,1,489.51122690278135,489.4472777079063,-0.06394919487502193,-0.00012502654760571108,-0.001125026547605711,True,-0.00022407311065486654,-0.0003100634748168191,-0.0009009534369508446,0.09544373841668813
fixed_q_over_r_0.01,1,489.51122690278135,489.46771192799497,-0.043514974786376115,-0.0001965188462366152,-0.0011965188462366152,True,-0.0003100634748168191,-0.0003946188122380927,-0.0008864553714197961,0.09538589324112844
fixed_q_over_r_0.01,1,489.51122690278135,489.48814604802465,-0.02308085475669941,-0.00012751914755804172,-0.0011275191475580417,True,-0.0003946188122380927,-0.0004644924708098933,-0.000732900335319949,0.09533855451341429
fixed_q_over_r_0.01,1,489.51122690278135,489.50858036804857,-0.0026465347327757627,-0.0002010508461498528,-0.0012010508461498528,True,-0.0004644924708098933,-0.0005346863442220222,-0.0007365583753399595,0.09529981025567845
fixed_q_over_r_0.01,1,489.51122690278135,489.52901448807825,0.017787585296900943,-0.000131144747488543,-0.001131144747488543,True,-0.0005346863442220222,-0.0005915098016284259,-0.0005964584032665208,0.09526809764974133
fixed_q_over_r_0.01,1,489.51122690278135,489.5494487080505,0.03822180526913144,-0.00020286364611521446,-0.0012028636461152145,True,-0.0005915098016284259,-0.0006497364493864022,-0.0006113538444867886,0.0952421388743463
fixed_q_over_r_0.01,1,489.51122690278135,489.5698830280162,0.05865612523484742,-0.00012026794769681715,-0.0011202679476968172,True,-0.0006497364493864022,-0.0006945408768943628,-0.000470531498310415,0.09522088886470806
fixed_q_over_r_0.01,1,489.51122690278135,489.59031714792945,0.0790902451481088,-0.00016218894689412622,-0.0011621889468941262,True,-0.0006945408768943628,-0.0007390626065295903,-0.00046764806999976345,0.09520349273600118
fixed_q_over_r_0.01,1,489.51122690278135,489.6107513678435,0.09952446506213164,-0.00014190824728244067,-0.00014190824728244067,False,-0.0007390626065295903,-0.0006822199303091168,0.0005971543592471496,0.0951892510541776
fixed_q_over_r_0.01,1,489.51122690278135,489.631185687751,0.11995878496963996,-0.00018439574646877954,-0.00018439574646877954,False,-0.0006822199303091168,-0.0006348382235065275,0.0004978241838403373,0.095177591488375
fixed_q_over_r_0.01,1,489.51122690278135,489.65161980760604,0.1403929048246937,-0.0001482530471609289,-0.0001482530471609289,False,-0.0006348382235065275,-0.0005885308632269424,0.0004865851763455986,0.09516804565927661
fixed_q_over_r_0.01,1,489.51122690278135,489.67205402740365,0.1608271246223012,-0.0001405486473085027,-0.0001405486473085027,False,-0.0005885308632269424,-0.0005459007724246433,0.0004479822159184397,0.09516023022230947
fixed_q_over_r_0.01,1,489.51122690278135,489.69248834725295,0.18126144447160186,-0.00013941564733022105,-0.00013941564733022105,False,-0.0005459007724246433,-0.0005072221553626856,0.0004064851250944223,0.09515383140520348
fixed_q_over_r_0.01,1,489.51122690278135,489.7129224670498,0.20169556426844792,-0.00021102124595895333,-0.00021102124595895333,False,-0.0005072221553626856,-0.0004790390557756308,0.00029620090940373227,0.09514859236519169
fixed_q_over_r_0.01,1,489.51122690278135,489.73335678678995,0.22212988400860922,-0.00021464684588956562,-0.00021464684588956562,False,-0.0004790390557756308,-0.00045388364328730226,0.0002643922098860652,0.09514430284904694
fixed_q_over_r_0.01,1,489.51122690278135,489.7537910065221,0.24256410374073312,-0.00020252374612161894,-0.00020252374612161894,False,-0.00045388364328730226,-0.0004299690639119572,0.0002513598971656833,0.09514079073473596
fixed_q_over_r_0.01,1,489.51122690278135,489.7742251262025,0.26299822342116386,,,False,-0.0004299690639119572,-0.0004299690639119572,,0.09513791511110065
fixed_q_over_r_0.01,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.0004299690639119572,-0.00040668369825925925,0.00022551921782714844,0.10325224553831708
fixed_q_over_r_0.01,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.00040668369825925925,-0.00038028955894075416,0.0002594503510787838,0.10173098324499996
fixed_q_over_r_0.01,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.00038028955894075416,-0.00035934932083686615,0.00020835681223329476,0.10050181647260707
fixed_q_over_r_0.01,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.00035934932083686615,-0.0003493699558477454,0.00010028887579788286,0.09950620056039577
